Age,Gender,Location,Language,Education Level,Likes and Reactions,Followed Accounts,Device Usage,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),Income Level,Top Interests,Segment,PCA1,PCA2
25-34,Female,Suburban,Hindi,Technical,5640,190,Mobile Only,4.5,1.7,0.193,0.067,25,20k-40k,['Digital Marketing'],2,1.9268104871923666,-0.10528966978788037
65+,Male,Urban,Hindi,PhD,9501,375,Tablet,0.5,7.7,0.114,0.044,68,0-20k,['Data Science'],3,-1.656283322624167,1.061366315106548
45-54,Female,Suburban,Spanish,Technical,4775,187,Mobile Only,4.5,5.6,0.153,0.095,80,60k-80k,['Fitness and Wellness'],4,1.8589813546984384,0.05039472246686966
35-44,Female,Rural,Spanish,PhD,9182,152,Desktop Only,3.1,4.2,0.093,0.061,65,100k+,"['Gaming', 'DIY Crafts']",0,0.8046841783136751,0.4911656534704522
25-34,Female,Urban,English,Technical,6848,371,Mobile Only,2.0,3.8,0.175,0.022,99,20k-40k,"['Fitness and Wellness', 'Investing and Finance', 'Gardening', 'Music Production']",2,1.6167136701823726,1.8098145690406051
25-34,Female,Suburban,Hindi,Master,6203,257,Mobile + Desktop,3.8,3.3,0.209,0.048,44,100k+,"['Gourmet Cooking', 'Software Engineering', 'Eco-Friendly Living']",2,1.5517696956285982,0.4805986860043558
18-24,Female,Suburban,Hindi,Bachelor,1573,136,Mobile + Desktop,2.8,7.9,0.172,0.068,8,100k+,"['Gardening', 'Digital Marketing', 'Music Production']",2,1.90913286070068,-0.4402485344853066
55-64,Male,Suburban,Hindi,PhD,3343,272,Desktop Only,2.7,1.9,0.128,0.032,35,40k-60k,"['Music Production', 'Photography', 'Gaming', 'Travel and Adventure']",3,-1.0082131673367571,0.425098536255182
45-54,Female,Urban,Spanish,High School,2281,49,Mobile + Desktop,1.0,3.2,0.115,0.008,159,20k-40k,"['Eco-Friendly Living', 'Gardening']",0,0.8572992330992857,1.5611276424369611
45-54,Male,Rural,Hindi,Bachelor,9741,421,Mobile + Desktop,2.3,4.4,0.161,0.058,157,100k+,"['Digital Marketing', 'Travel and Adventure']",1,-1.1993945583210317,0.8108958764073284
